,기업명,채용공고,경력,위치
204,아이씨티케이,양자내성 VPN 시스템 개발,경력 5-15년,서울 강남구
205,케이에이씨미디어그룹,프론트엔드 엔지니어 (시니어),경력 5-10년,서울 종로구
206,섬재,백엔드 개발자,경력 4-7년,서울 강남구
207,섹타나인,[백엔드] 해피페이카드,경력 7-10년,서울 강남구
208,하이퍼엑셀,AI 반도체 S/W 컴파일러 엔지니어,경력 2-15년,서울 강남구
209,스탠바이랩,프론트엔드 엔지니어(병역특례/산업기능요원/보충역/전직),신입,서울 강남구
210,지란지교데이터,보안 솔루션 백엔드 개발자 (2~5년) - 대전,경력 2-5년,대전 유성구
211,엑스바디,프론트엔드 개발자 (5년 이상),경력 5-10년,서울 금천구
212,메이즈,PHP 풀스택 라라벨 개발자,경력 3-10년,서울 구로구
213,테크핀레이팅스,신용평가 모델러,경력 10-30년,서울 중구
214,어니스트펀드,CSS솔루션 매니저,경력 3-15년,서울 강남구
215,그로잉랩,웹 프론트엔드 개발자,경력 5-10년,서울 강남구
216,플라잎,C# Application Engineer(전문연구요원 가능),경력 3-5년,경기 성남시
217,우리엔,"웹/앱 개발자(Java, PHP)",경력 3-7년,경기 화성시
218,크라우드웍스,[솔루션팀] Software Engineer (Full-stack),경력 5-10년,서울 강남구
219,씨드로닉스,Back-end (AI Data Platform),경력 2-5년,서울 강남구
220,위메이드(WEMADE),[위메이드XR-Legend of YMIR] 개발PM,경력 2-7년,경기 성남시
221,젠스타메이트,Back-end Engineer (5년 이상),경력 5-10년,서울 중구
222,엔비티(NBT),[애디슨] 프론트엔드 엔지니어,경력 6-15년,서울 서초구
223,로민,백엔드 엔지니어,경력 5-15년,서울 서초구
224,오케스트로,Data Engineer,경력 3-10년,서울 영등포구
225,마인즈앤컴퍼니,AI Engineer (전문연 지원 가능),경력 3-10년,서울 강남구
226,디오비스튜디오,인공지능 분야 박사급 연구원,경력 2-7년,서울 마포구
227,콜랩코리아,[DATA팀] Data Analyst,경력 1-3년,서울 강남구
228,가우디오랩,C++ Software Engineer,경력 1-3년,서울 강남구
229,도슨티,AI engineer (prompt engineer),신입-경력 15년,서울 
230,블루바이저시스템즈,웹개발자 (서울),경력 5-10년,서울 강남구
231,펑타이그레이터차이나(피티코리아),이커머스 웹페이지 퍼블리셔,경력 7-11년,서울 서초구
232,배움,학점은행 LMS 웹(ASP) 개발자,경력 5-10년,서울 강남구
233,한국필립모리스,Digital Experience / OPS Executive,경력 4-10년,서울 영등포구
234,마키나락스,머신러닝 엔지니어 (Battery PJT),경력 3-7년,서울 서초구
235,휴스테이션,"Frontend/Backend, Full-stack 개발자 (10년 이상)",경력 10-20년,서울 마포구
236,로민,[전문연구요원] 백엔드 엔지니어,경력 1-5년,서울 서초구
237,넛지헬스케어(캐시워크),풀스택 개발자(병역특례_현역/보충역),신입-경력 3년,서울 강남구
238,포디리플레이코리아,Windows Application Development(5년 이상),경력 5-10년,경기 성남시
239,비주얼신,웹 프론트엔드 개발자(10년 내외),경력 9-12년,서울 강남구
240,비씨디코퍼레이션,명품이커머스 python 백엔드 개발자,경력 3-10년,서울 금천구
